"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@ParkLagging @ChipotleTweets @Wendys What can Wendy’s say about chipotle",FALSE,0,"ParkLagging",2017-11-30 02:08:32,FALSE,"936051410814324736","936054307862011905","726174622681583617","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RealKurbii",0,FALSE,FALSE,NA,NA
"2","THANK YOU TO EVERYONE WHO WENT TO CHIPOTLE TONIGHT FOR DINNER TO SUPPORT OUR #DIRTYBIRDS.  WE APPRECIATE EACH &amp; EVE… https://t.co/yCaQo5JPjY",FALSE,0,NA,2017-11-30 02:08:19,TRUE,NA,"936054250811068417",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pamil0468",0,FALSE,FALSE,NA,NA
"3","RT @JaySlone15: I swear chipotle isn't as good if you eat it without the black fork lol",FALSE,0,NA,2017-11-30 02:08:16,FALSE,NA,"936054239633330176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","austin_rohrs15",249,TRUE,FALSE,NA,NA
"4","RT @SignalsMatter: Signals Matter Investment Approach: Short Signals Watch - Chipotle https://t.co/gCj8PtFnp2 https://t.co/9l2XVb0Lu0",FALSE,0,NA,2017-11-30 02:08:03,FALSE,NA,"936054186948677639",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bernardo_Pirola",1,TRUE,FALSE,NA,NA
"5","RT @alivia_boedeker: me: i have 9 friends 

friend: “qdoba is better than chipotle”

me: https://t.co/NbDw3cXLb7",FALSE,0,NA,2017-11-30 02:08:03,FALSE,NA,"936054183417049094",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kylebro53",1,TRUE,FALSE,NA,NA
"6","I live 1.1 miles away from chipotle now <ed><U+00A0><U+00BD><ed><U+00B8><U+008E> #sofritas https://t.co/UhodJiZrAm",FALSE,0,NA,2017-11-30 02:08:02,FALSE,NA,"936054181579833344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","trashykins",0,FALSE,FALSE,NA,NA
"7","Chipotle's playin some vibey shit rn I wish I had my hoop in here lol",FALSE,0,NA,2017-11-30 02:08:00,FALSE,NA,"936054172738314240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","outtatwnshawty",0,FALSE,FALSE,NA,NA
"8","RT @JoshBloomACSH: https://t.co/2Beou7GZtX ""The Wrong Way To Collect Coins: In Your Stomach"" Crazy s####t. Maybe even worse than eating in…",FALSE,0,NA,2017-11-30 02:07:59,FALSE,NA,"936054166627213313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mary86802059",4,TRUE,FALSE,NA,NA
"9","qdoba is so much better than chipotle and if you disagree you're a crackhead",FALSE,0,NA,2017-11-30 02:07:28,FALSE,NA,"936054036746424320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TRASHMOUTHES",0,FALSE,FALSE,NA,NA
"10","@jerseymikes Big Kahuna with Chipotle #Mayo #JMSweepstakes",FALSE,0,"jerseymikes",2017-11-30 02:07:20,FALSE,"935886080980566020","936054004437667840","189252968","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","markgirljana",0,FALSE,FALSE,NA,NA
"11","Chipotle Food Poisoning Lawsuit - Campylobacteriosis https://t.co/yhZ03Pv1ci",FALSE,0,NA,2017-11-30 02:07:17,FALSE,NA,"936053991711973376",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Agri_Natural",0,FALSE,FALSE,NA,NA
"12","@_NateP_ 40k gets us knockoff chipotle at twice the price lol",FALSE,0,"_NateP_",2017-11-30 02:07:17,FALSE,"936049019259727872","936053990629949440","385765359","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","its_jerrrr",0,FALSE,FALSE,NA,NA
"13","@ivonnedaniela13 I've never had chipotle. Is it good??",FALSE,0,"ivonnedaniela13",2017-11-30 02:07:02,FALSE,"935915882081083392","936053928789184512","2157623151","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","whackykiddo",0,FALSE,FALSE,NA,NA
"14","Made jackfruit chipotle tacos + soyrizo pineapple tacos and i think i just came.",FALSE,3,NA,2017-11-30 02:06:53,FALSE,NA,"936053893011726336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mariasirens",0,FALSE,FALSE,NA,NA
"15","RT @ChrisMustard: a posse of hardcore kids just walked into chipotle with matching Foundation shirts and told me I didn’t know what real mu…",FALSE,0,NA,2017-11-30 02:06:46,FALSE,NA,"936053862208851968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexaryohe",5,TRUE,FALSE,NA,NA
"16","RT @BHSPantherMusic: One week from tonight...make plans to eat at Chipotle and bring this flyer with you!  50% of your meal cost will suppo…",FALSE,0,NA,2017-11-30 02:06:30,FALSE,NA,"936053793321611264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TessMSamperi",2,TRUE,FALSE,NA,NA
"17","RT @AgBioWorld: So how did the ""Farewell to GMOs"" work out for you? https://t.co/KoKtLiU7io",FALSE,0,NA,2017-11-30 02:06:21,FALSE,NA,"936053756919197697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","suhilpaudyal",2,TRUE,FALSE,NA,NA
"18","RT @RachaelEllering: Lady in line at Chipotle: ""It kinda looks like your nose is broken""

Really? What gave it away-The crooked nose and tw…",FALSE,0,NA,2017-11-30 02:05:54,FALSE,NA,"936053642427187200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stonecoldage",10,TRUE,FALSE,NA,NA
"19","RT @jennnnramirez: probably thinking about chipotle<ed><U+00A0><U+00BD><ed><U+00B2><U+00AD> https://t.co/PZwyucss78",FALSE,0,NA,2017-11-30 02:05:46,FALSE,NA,"936053609275551744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","turnernottanner",1,TRUE,FALSE,NA,NA
"20","@iAMdaintyyPosh I'm in my house eating Chipotle n drinking ciroc n oj",FALSE,0,"iAMdaintyyPosh",2017-11-30 02:05:42,FALSE,"936053407709827072","936053594314461184","70028176","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","imjustShanneka",0,FALSE,FALSE,NA,NA
